ID	Ctrl_1	Ctrl_2	Ctrl_3	Ctrl_4	Ctrl_5	Ctrl_6	Ctrl_7	Ctrl_8	Ctrl_9	BRCA1_1	BRCA1_2	BRCA1_3	BRCA1_4	BRCA1_5	BRCA1_6	BRCA1_7	BRCA1_8	BRCA1_9	BRCA2_1	BRCA2_2	BRCA2_3	BRCA2_4	BRCA2_5	BRCA2_6	BRCA2_7	BRCA2_8
200000_s_at	6.325817043918868	6.153805836290818	6.28357135650357	6.350048306410283	6.3371689478653535	6.249144518793841	6.332444133668277	6.332931816527307	6.282291244416875	6.358764015329225	6.321747278170169	6.29612862078991	6.345069329809252	6.258050203864144	6.34597244087473	6.282510424347365	6.259609522741865	6.31113840895241	6.259402177800235	6.295930921521089	6.2300564519910635	6.262020198788817	6.21629836120675	6.241100304311964	6.246147800941412	6.298706750434917
200001_at	6.333037436969218	6.333555518721918	6.198156418881617	6.365214258046082	6.326204850142647	6.289670205576997	6.2357818943688645	6.375651230428029	6.291867665905396	6.337114521508017	6.3334360617108665	6.27213970662077	6.320208749148365	6.338357524166417	6.267599010275283	6.291514029370287	6.284036341024677	6.241533700117288	6.324392223066468	6.3441608740196545	6.277595184550059	6.106773935343495	6.214312092443645	6.292910446699245	6.280165383368293	6.337451756544982
200002_at	6.611397927876036	6.597125339200308	6.6121669695161716	6.577121374901969	6.596096751663867	6.37108560812958	6.595379017830939	6.632583105806078	6.634766460882845	6.621487554984351	6.594985380809877	6.624688275635078	6.583751509515498	6.644061460848348	6.57697742891172	6.618195250055831	6.6202582300006725	6.594133567797485	6.619164441143587	6.630301532761145	6.636197800498419	6.639194643788634	6.633798925119422	6.601968350699008	6.625403515497315	6.634826406152788
200003_s_at	6.7014203849580944	6.722093783783784	6.702638295855356	6.690229429084178	6.696767491542422	6.685167213019021	6.699452053970237	6.717143959922909	6.718913164465709	6.7355872076687255	6.693166660497562	6.70271382018148	6.6804655463483975	6.722232258575242	6.674189944001205	6.727273089132085	6.721932714925764	6.717542828781872	6.736290011637899	6.733780590122763	6.7337342812155265	6.727544903823845	6.7300397406225745	6.718115453116909	6.719111378980059	6.732833112805084
200004_at	6.446284928362629	6.488149764926319	6.548408096362923	6.51129645362065	6.528226745689707	6.469367318653938	6.5338709196477165	6.498135913446561	6.480689353017692	6.559871496067686	6.558934230024194	6.522318317265385	6.539354096919934	6.484093217814814	6.574929509186766	6.4995561008875375	6.430735930464154	6.507336826804931	6.548311255115394	6.545382805761623	6.4583375399464025	6.486060088919414	6.489441996588192	6.4990503493302905	6.557270434479894	6.547437379805423
200005_at	6.479762541637003	6.452337456391401	6.440422664653678	6.46032887310787	6.46980063008543	6.417024842388842	6.447925467898828	6.475948060176197	6.444997567547387	6.4581555796014	6.462783741755418	6.437439766041698	6.448017726000205	6.451103661528727	6.442859882124758	6.438377867238421	6.435833192328611	6.434139577299206	6.423158149234849	6.427815534730576	6.4570474414102605	6.408170580190494	6.469010013534173	6.438891412514785	6.422118090955416	6.42634568860014
200006_at	6.459274143754506	6.491667086722635	6.500568004153451	6.490397698508597	6.458700991678041	6.409619159501635	6.5041759392159975	6.480855289931115	6.5201619060738185	6.491929206889202	6.495003182261952	6.509788736878104	6.495485320774582	6.518164918911803	6.484325739355119	6.499070513700555	6.464174451888948	6.469646879757158	6.489035419806556	6.512305092956132	6.502981298075246	6.435847078286892	6.490279249525994	6.486658041618643	6.507624680471667	6.513184964585064
200007_at	6.465082020756924	6.505533946960862	6.47543286739095	6.453824502231111	6.494610273436949	6.403054867616706	6.461548122893948	6.492227488816231	6.487592962053642	6.513625676954145	6.448028929699926	6.485133257964197	6.472554868817228	6.4771659961050085	6.467141905201136	6.482814740984875	6.464422868169201	6.42493590091882	6.47725410721952	6.491676834749956	6.473895084729122	6.4664965806101495	6.4894884681795215	6.470548190605965	6.512894663101815	6.487869278751421
200008_s_at	6.394009581764966	6.402759124661586	6.440507201801396	6.342634823546779	6.329304727014368	6.340606269889017	6.449779826157613	6.396219976979441	6.418748366554737	6.321838582208	6.442071238142035	6.377691977350976	6.39797581173639	6.427874543614173	6.439724575966473	6.416296507696348	6.448580938457548	6.3338932905507805	6.370717005746195	6.329145597071981	6.437755320683403	6.41636095073597	6.4299769350234675	6.398634223662936	6.372204571816429	6.327952538665211
200009_at	6.511235443754766	6.468031179392601	6.515213273537084	6.510195630375453	6.471988079388875	6.368819604588216	6.5083616404314295	6.499188562183735	6.490480086284811	6.4960656426477685	6.5309973335407685	6.485195742610262	6.526056869386449	6.510385784845319	6.5354102602852535	6.476007999572234	6.5077840956560635	6.487425192883633	6.475626861003952	6.47862155936335	6.513658698434625	6.49724099857315	6.498267873815361	6.499040385553057	6.471954425618566	6.4783412574760515
200010_at	6.609543599729776	6.632088852663961	6.616342642967015	6.58399264097339	6.626673062312131	6.603529978354513	6.613324744980115	6.637648322100231	6.613794251119188	6.6517605204810835	6.596344132221114	6.617556315597447	6.5780475804360625	6.619247595067529	6.589923349794827	6.634973202962171	6.651536566044159	6.630065387026148	6.671794223190466	6.6595542000877845	6.657132601762455	6.643510879650885	6.65062100236189	6.646955524163636	6.651716763942647	6.662873868116618
200011_s_at	6.1348156408281875	6.142573062475982	6.182422566717669	6.161503400138882	6.1985246528177695	6.176669941092918	6.1250708446424245	6.196939868769445	6.131981979238822	6.1963543075937455	6.162367757844352	6.137410525502997	6.211118619239565	6.165417228799335	6.18334317016459	6.10703092074034	6.09772530306189	6.117078445112107	6.185758576052358	6.210652231242301	6.063381361398858	6.072802349960199	6.104069050795431	6.106588408933156	6.198098847523896	6.201446398693913
200012_x_at	6.6750417992039335	6.675719744021708	6.6796234249953175	6.649140457787778	6.6785755903640736	6.646286129693137	6.677545628130596	6.678767218251502	6.678377135654906	6.680499023574935	6.661879761472215	6.673283341413208	6.6700441873013325	6.678017734910581	6.656114907693277	6.684169633913623	6.683984704991124	6.674407941635025	6.697875017017347	6.690422428953546	6.685935045821637	6.699736027914261	6.692994321891711	6.6871232639947635	6.6915624594945635	6.696455591455779
200013_at	6.5959007325952985	6.611225748155694	6.615478784354973	6.563268628468881	6.586874175828051	6.5797968958205795	6.6076113263151575	6.613610493615327	6.610049944898399	6.613689680658216	6.606029283048631	6.605045294458218	6.596117332400545	6.610037359382551	6.5870209826705794	6.620802855306033	6.6250580975394815	6.601247254456282	6.627698928405237	6.63604769733995	6.64299443444894	6.631092238970407	6.638278017696444	6.625895453193855	6.620679148849023	6.6371230749909484
200014_s_at	6.252134498832229	6.274240213316702	6.351588184827333	6.294475600688865	6.225783864327266	6.224822792275388	6.343764370457773	6.162038016152843	6.279221015642807	6.225550313051575	6.293197772113012	6.29838466735084	6.278671983518876	6.285904899969002	6.304961767358747	6.275422105715364	6.249278508744197	6.198415888989001	6.245161144462703	6.253640696689867	6.2728864698248605	6.284879048406747	6.274145070957219	6.265261247308548	6.274352952240631	6.257366443707105
